rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
164,High Point Panthers,/cbb/schools/high-point/,high-point,2000,2015,16,483,229,254,.474,-9.78,-6.51,0,3,0,0,0,0
165,Hiram Terriers,/cbb/schools/hiram/,hiram,1894,1904,8,59,45,14,.763,,,0,0,0,,,
166,Hofstra Pride,/cbb/schools/hofstra/,hofstra,1943,2015,50,1431,716,715,.500,-5.32,-4.48,0,6,5,4,0,0
167,Holy Cross Crusaders,/cbb/schools/holy-cross/,holy-cross,1901,2015,95,2275,1354,921,.595,-4.41,-5.07,6,7,6,12,2,1
168,Hope Flying Dutchmen,/cbb/schools/hope/,hope,1908,1913,5,65,44,21,.677,,,0,0,0,,,
169,Houston Baptist Huskies,/cbb/schools/houston-baptist/,houston-baptist,1974,2015,21,594,251,343,.423,-9.30,-6.27,0,2,1,1,0,0
170,Houston Cougars,/cbb/schools/houston/,houston,1951,2015,65,1903,1121,782,.589,4.40,3.15,7,5,6,19,5,0
171,Howard Bison,/cbb/schools/howard/,howard,1974,2015,42,1184,467,717,.394,-15.12,-9.53,0,4,3,2,0,0
172,Idaho State Bengals,/cbb/schools/idaho-state/,idaho-state,1959,2015,57,1565,699,866,.447,-7.16,-1.99,0,4,2,5,0,0
173,Idaho Vandals,/cbb/schools/idaho/,idaho,1906,2015,110,2717,1277,1438,.470,-2.32,-0.80,1,7,4,4,0,0
174,Illinois Fighting Illini,/cbb/schools/illinois/,illinois,1906,2015,110,2668,1727,941,.647,15.82,8.76,26,17,2,30,5,0
175,Illinois State Redbirds,/cbb/schools/illinois-state/,illinois-state,1899,2015,56,1409,848,561,.602,4.06,2.20,0,5,4,6,0,0
176,Illinois Wesleyan Titans,/cbb/schools/illinois-wesleyan/,illinois-wesleyan,1928,1928,1,14,13,1,.929,,,0,0,0,,,
177,Illinois-Chicago Flames,/cbb/schools/illinois-chicago/,illinois-chicago,1982,2015,34,1021,496,525,.486,-2.35,-0.90,0,2,2,3,0,0
178,Incarnate Word Cardinals,/cbb/schools/incarnate-word/,incarnate-word,2014,2015,2,56,39,17,.696,-7.31,-8.60,0,0,0,0,0,0
