Akron,5,2003,"Harris, Dominique",75154,Jr.,2002-03,G,5-8,28,96,288,33.333,25,92,27.174,41,53,77.358,73,2.607,38,1.357,1,0.036,36,1.286,258,9.214,-,-,-
Akron,5,2003,"Hemmelgarn, Lindsay",75155,So.,2002-03,G,5-8,27,80,243,32.922,50,152,32.895,42,59,71.186,82,3.037,52,1.926,0,-,39,1.444,252,9.333,-,-,-
Akron,5,2003,"Johnson, Raegan",75156,Sr.,2002-03,G,5-8,27,79,211,37.441,9,30,30.000,29,55,52.727,152,5.630,43,1.593,5,0.185,25,0.926,196,7.259,-,-,-
Akron,5,2003,"Marco, Kristin",288185,Fr.,2002-03,G,5-8,12,4,22,18.182,0,5,-,10,13,76.923,10,0.833,6,0.500,0,-,3,0.250,18,1.500,-,-,-
Akron,5,2003,"Martin, Cassandra",75158,Sr.,2002-03,C,6-2,22,113,217,52.074,0,0,-,68,121,56.198,170,7.727,30,1.364,20,0.909,16,0.727,294,13.364,-,-,-
Akron,5,2003,"Overton, Cydney",75159,So.,2002-03,F,6-2,28,24,90,26.667,0,0,-,16,35,45.714,91,3.250,22,0.786,11,0.393,13,0.464,64,2.286,-,-,-
Akron,5,2003,"Vujas, Courtney",295517,Fr.,2002-03,-,-,13,6,20,30.000,3,14,21.429,0,0,-,3,0.231,7,0.538,0,-,1,0.077,15,1.154,-,-,-
Ala.-Huntsville,10,2003,"Caldwell, Katie",66257,Sr.,2002-03,G,5-4,27,41,107,38.318,29,81,35.802,30,43,69.767,60,2.222,66,2.444,2,0.074,33,1.222,141,5.222,-,-,-
Ala.-Huntsville,10,2003,"Cunningham, Katie",66258,Jr.,2002-03,G,5-8,27,34,109,31.193,6,37,16.216,25,48,52.083,99,3.667,83,3.074,5,0.185,29,1.074,99,3.667,-,-,-
Ala.-Huntsville,10,2003,"Davis, Andrea",283904,Jr.,2002-03,F,6-0,27,76,168,45.238,0,0,-,19,34,55.882,133,4.926,14,0.519,5,0.185,11,0.407,171,6.333,-,-,-
Ala.-Huntsville,10,2003,"Duncan, Chrystalle",95748,Jr.,2002-03,G,5-7,26,65,179,36.313,48,132,36.364,35,42,83.333,53,2.038,39,1.500,2,0.077,22,0.846,213,8.192,-,-,-
